u,v
37,30
37,66
37,99
37,85
37,91
37,70
36,67
36,39
36,63
36,8
36,30
36,90
36,16
36,91
36,17
36,1
36,85
36,27
36,32
36,98
36,46
36,61
36,62
36,3
36,21
36,47
36,48
36,23
36,22
36,99
36,43
36,81
36,5
36,56
36,94
36,60
36,31
36,18
36,24
36,87
36,66
36,51
36,93
36,70
36,45
35,59
35,68
35,56
35,85
35,72
35,66
35,63
35,47
35,21
35,91
35,45
35,5
35,81
35,31
35,50
35,3
35,76
35,73
35,90
35,98
35,67
35,39
35,87
35,44
35,46
35,27
35,24
35,52
35,62
35,93
35,43
35,80
35,57
35,17
35,60
35,37
35,22
35,51
35,48
35,32
35,30
35,70
35,16
35,74
35,1
35,8
35,94
35,61
35,18
35,82
35,36
35,99
35,23
32,18
32,3
32,8
32,62
32,47
32,71
32,31
32,61
32,2
32,21
32,90
32,48
32,1
32,81
32,85
32,67
32,17
32,87
32,6
32,98
32,23
32,93
32,16
32,45
32,27
32,94
32,43
32,5
32,24
32,22
32,63
32,51
32,66
32,56
32,30
32,46
32,99
32,60
32,39
32,70
27,39
27,1
24,96
24,69
21,56
21,3
21,62
21,48
21,93
21,43
21,71
21,67
21,31
21,63
21,6
21,51
21,45
21,99
21,18
21,81
21,27
21,66
21,30
21,22
21,39
21,47
21,24
21,85
21,94
21,61
21,16
21,46
21,87
21,70
21,8
21,98
21,1
21,5
21,2
21,91
21,60
21,23
21,90
21,17
19,33
15,43
15,57
15,52
15,47
15,72
15,73
15,45
15,46
15,66
15,21
15,76
15,82
15,80
15,99
15,18
15,30
15,39
15,32
15,91
15,31
15,94
15,37
15,90
15,81
15,61
15,5
15,87
15,56
15,1
15,62
15,22
15,17
15,3
15,48
15,67
15,8
15,60
15,16
15,85
15,23
15,50
15,70
15,68
15,98
15,93
15,74
15,36
15,51
15,24
15,27
15,63
7,93
7,24
7,60
7,1
7,43
7,80
7,30
7,36
7,27
7,37
7,70
7,57
7,73
7,47
7,98
7,39
7,56
7,5
7,50
7,23
7,52
7,74
7,67
7,94
7,91
7,44
7,59
7,48
7,18
7,3
7,16
7,46
7,87
7,62
7,63
7,45
7,31
7,82
7,68
7,76
7,21
7,72
7,8
7,22
7,17
7,32
7,66
7,51
7,61
7,81
7,85
7,99
7,90
6,75
6,96
6,13
6,92
1,17
